,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,buyerAgent,buyerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
81,15590877,"2746 Washington Ave, Redwood City, CA 94061",94061,37.457838,-122.238736,4,3.0,2238,2019-08-22 00:00:00,1952,6873.0,2027683.0,2100000.0,,,,,2019-07-19 17:36:00,1749000.0,1,1781779.0,2019-06-30,https://www.zillow.com/homedetails/2746-Washington-Ave-Redwood-City-CA-94061/15590877_zpid/
82,15564281,"39 Grand St, Redwood City, CA 94062",94062,37.485468,-122.244346,3,2.0,1540,2019-08-21 00:00:00,1936,9099.0,1970011.0,2040000.0,Maxine Dumas,https://www.zillow.com/profile/maxine_dumas/,Jason Sewald,https://www.zillow.com/profile/Jason-Sewald/,2019-07-12 07:44:00,1799950.0,1,1783786.0,2019-06-30,https://www.zillow.com/homedetails/39-Grand-St-Redwood-City-CA-94062/15564281_zpid/
83,15590322,"643 W Glen Way, Woodside, CA 94062",94062,37.453715,-122.275112,4,4.0,4590,2019-08-09 00:00:00,1989,29185.0,3288592.0,3400000.0,Peter Vece,https://www.zillow.com/profile/Peter-Vece/,Ginna Arnold-Lazar,https://www.zillow.com/profile/ginnalazar/,2019-03-08 13:59:00,3895000.0,1,3776370.0,2019-02-28,https://www.zillow.com/homedetails/643-W-Glen-Way-Woodside-CA-94062/15590322_zpid/
84,15574185,"1401 Roosevelt Ave, Redwood City, CA 94061",94061,37.470155,-122.236399,5,5.0,2903,2019-08-09 00:00:00,2019,8398.0,1982828.0,2050000.0,Jeff and Sue Kockos,https://www.zillow.com/profile/TheKockosGroup/,Rob Mibach,https://www.zillow.com/profile/user016898/,2019-05-21 10:14:00,2198000.0,1,2471750.0,2019-04-30,https://www.zillow.com/homedetails/1401-Roosevelt-Ave-Redwood-City-CA-94061/15574185_zpid/
85,15572388,"932 Pleasant Hill Rd, Redwood City, CA 94061",94061,37.45842,-122.252902,5,3.0,2480,2019-08-08 00:00:00,1956,7230.0,2286358.0,2363500.0,Caroline Dinsmore,https://www.zillow.com/profile/Caroline-Dinsmore/,Diane Dwyer,https://www.zillow.com/profile/Diane-Dwyer-Sharp/,2019-05-17 09:14:00,2498000.0,1,2244158.0,2019-04-30,https://www.zillow.com/homedetails/932-Pleasant-Hill-Rd-Redwood-City-CA-94061/15572388_zpid/
86,15571630,"852 Seminole Way, Redwood City, CA 94062",94062,37.463182,-122.258797,3,2.0,2389,2019-08-06 00:00:00,1970,7727.0,2012647.0,2080000.0,,,Larry Liu,https://www.zillow.com/profile/larryliu88/,2019-06-21 11:29:00,2100000.0,1,2167183.0,2019-05-31,https://www.zillow.com/homedetails/852-Seminole-Way-Redwood-City-CA-94062/15571630_zpid/
87,15575567,"2066 Poplar Ave, Redwood City, CA 94061",94061,37.463648,-122.237916,3,2.0,2090,2019-08-02 00:00:00,1949,13939.0,2250909.0,2325000.0,Alana Corso,https://www.zillow.com/profile/Alana-Corso/,Lori Burrows Warren,https://www.zillow.com/profile/Lori-Burrows-Warren/,,,0,2321762.0,2019-07-31,https://www.zillow.com/homedetails/2066-Poplar-Ave-Redwood-City-CA-94061/15575567_zpid/
88,15573817,"737 Ruby St, Redwood City, CA 94061",94061,37.47014,-122.241549,4,3.0,2000,2019-07-31 15:00:00,1947,5998.0,2227328.0,2300000.0,,,Umi Park,https://www.zillow.com/profile/umipark/,2019-06-14 10:59:00,1998000.0,1,1868627.0,2019-05-31,https://www.zillow.com/homedetails/737-Ruby-St-Redwood-City-CA-94061/15573817_zpid/
89,15559966,"2713 Clifford Ave, San Carlos, CA 94070",94070,37.483843,-122.262079,3,3.0,2820,2019-07-31 00:00:00,1969,13068.0,2493639.0,2575000.0,Guy Chanda,https://www.zillow.com/profile/Guy-Chanda/,Chris Cook,https://www.zillow.com/profile/CookHomesBayArea/,2019-05-06 09:03:00,2790000.0,1,2480429.0,2019-04-30,https://www.zillow.com/homedetails/2713-Clifford-Ave-San-Carlos-CA-94070/15559966_zpid/
90,15562710,"15 Hermosa Rd, Palomar Park, CA 94062",94062,37.479488,-122.270218,4,4.0,2770,2019-07-30 15:00:00,1997,24397.0,2518219.0,2600000.0,Team Bedbury,https://www.zillow.com/profile/Bedbury-Group/,,,2019-05-17 08:25:00,2600000.0,1,2720362.0,2019-04-30,https://www.zillow.com/homedetails/15-Hermosa-Rd-Palomar-Park-CA-94062/15562710_zpid/
