,zpid,address,zipcode,latitude,longitude,beds,baths,area,dateSold,yearBuilt,lotSize,zestimate,sellingPrice,sellerAgent,sellerAgentUrl,listedAt,firstListingPrice,timesListed,zEstimate_at_listing,zEstimate_date,url
140,15590554,"6 Woodleaf Ave, Redwood City, CA 94061",94061,37.449422,-122.259778,5.0,4.0,4430.0,2019-05-03 00:00:00,1982,16073.0,3427548.0,3488000.0,,,2019-03-15 17:42:00,3488000.0,1,3612301.0,2019-02-28,https://www.zillow.com/homedetails/6-Woodleaf-Ave-Redwood-City-CA-94061/15590554_zpid/
141,68549631,"214 Sylvan Way, Emerald Hills, CA 94062",94062,37.471104,-122.274727,5.0,5.0,3690.0,2019-05-02 08:00:00,2006,15598.0,3252945.0,3310000.0,Diana Walsh,https://www.zillow.com/profile/user3980579/,2019-04-05 13:36:00,2948000.0,1,3233218.0,2019-03-31,https://www.zillow.com/homedetails/214-Sylvan-Way-Emerald-Hills-CA-94062/68549631_zpid/
142,15590146,"1020 Wilmington Way, Emerald Hills, CA 94062",94062,37.456604,-122.26522,4.0,3.0,3180.0,2019-05-01 15:00:00,1939,18900.0,2874858.0,2925000.0,Ellen Larios,https://www.zillow.com/profile/Ellen-Larios/,,,0,2786681.0,2019-04-30,https://www.zillow.com/homedetails/1020-Wilmington-Way-Emerald-Hills-CA-94062/15590146_zpid/
143,15559095,"870 Cabot Ct, San Carlos, CA 94070",94070,37.486588,-122.282423,3.0,2.5,2430.0,2019-04-30 00:00:00,1981,16552.0,2378660.0,2420000.0,,,2019-03-22 08:38:00,2289000.0,1,2248929.0,2019-02-28,https://www.zillow.com/homedetails/870-Cabot-Ct-San-Carlos-CA-94070/15559095_zpid/
144,15589540,"682 Handley Trl, Emerald Hills, CA 94062",94062,37.465372,-122.269293,3.0,3.0,2250.0,2019-04-29 00:00:00,1946,13198.0,2064252.0,2100000.0,Janet Pepe Davis,https://www.zillow.com/profile/janetpepedavis/,2019-03-15 16:10:00,2088500.0,1,2133392.0,2019-02-28,https://www.zillow.com/homedetails/682-Handley-Trl-Emerald-Hills-CA-94062/15589540_zpid/
145,15559586,"2780 Bromley Dr, San Carlos, CA 94070",94070,37.48293,-122.26628,5.0,2.5,2440.0,2019-04-29 00:00:00,1960,8899.0,2160584.0,2198000.0,Greg Garcia,https://www.zillow.com/profile/user529363/,2019-03-04 06:34:00,2198000.0,1,2173953.0,2019-02-28,https://www.zillow.com/homedetails/2780-Bromley-Dr-San-Carlos-CA-94070/15559586_zpid/
146,15590506,"1055 Eden Bower Ln, Redwood City, CA 94061",94061,37.451412,-122.257476,3.0,2.0,2532.0,2019-04-26 15:00:00,1968,10680.0,2427176.0,2375000.0,Cliff Whearley,https://www.zillow.com/profile/cliffwhearley/,2019-03-11 07:19:00,2258000.0,1,2166862.0,2019-02-28,https://www.zillow.com/homedetails/1055-Eden-Bower-Ln-Redwood-City-CA-94061/15590506_zpid/
147,15570923,"125 Springdale Way, Emerald Hills, CA 94062",94062,37.472322,-122.271619,4.0,3.0,3090.0,2019-04-26 00:00:00,1990,13050.0,2063648.0,2099000.0,Alex Lehr,https://www.zillow.com/profile/Alex-Lehr/,2019-03-07 08:49:00,2099000.0,1,2548461.0,2019-02-28,https://www.zillow.com/homedetails/125-Springdale-Way-Emerald-Hills-CA-94062/15570923_zpid/
148,15562833,"958 Blandford Blvd, Redwood City, CA 94062",94062,37.48396,-122.252322,3.0,4.0,2880.0,2019-04-23 08:00:00,1948,9469.0,2445071.0,2486250.0,John Shroyer,https://www.zillow.com/profile/JohnShroyer/,2018-10-26 10:57:00,2695000.0,1,2816525.0,2018-09-30,https://www.zillow.com/homedetails/958-Blandford-Blvd-Redwood-City-CA-94062/15562833_zpid/
149,15562669,"210 Montalvo Rd, Redwood City, CA 94062",94062,37.477421,-122.27446,4.0,3.0,3200.0,2019-04-19 00:00:00,1988,19998.0,2704841.0,2750000.0,,,2018-09-24 09:28:00,2895000.0,1,2645735.0,2018-08-31,https://www.zillow.com/homedetails/210-Montalvo-Rd-Redwood-City-CA-94062/15562669_zpid/
150,15575494,"1176 Fairview Ave, Redwood City, CA 94061",94061,37.465302,-122.239852,4.0,4.0,2010.0,2019-04-17 00:00:00,1949,8398.0,2070686.0,2105000.0,Tim Anderson,https://www.zillow.com/profile/timanderson18/,2019-01-28 09:34:00,2150000.0,2,1993724.0,2018-12-31,https://www.zillow.com/homedetails/1176-Fairview-Ave-Redwood-City-CA-94061/15575494_zpid/
151,15572770,"1438 Edgewood Rd, Redwood City, CA 94062",94062,37.479456,-122.260335,4.0,3.0,2610.0,2019-04-11 00:00:00,1929,27299.0,2346982.0,2385000.0,,,2018-11-12 10:03:00,2650000.0,1,2331013.0,2018-10-31,https://www.zillow.com/homedetails/1438-Edgewood-Rd-Redwood-City-CA-94062/15572770_zpid/
152,82952256,"611 Topaz St, Redwood City, CA 94061",94061,37.47044,-122.244776,10.0,8.0,6864.0,2019-04-11 00:00:00,1963,8973.0,,3100000.0,,,,,0,,,https://www.zillow.com/homedetails/611-Topaz-St-Redwood-City-CA-94061/82952256_zpid/
153,111436032,"1122 Madison Ave, Redwood City, CA 94061",94061,37.474695,-122.237879,8.0,6.0,5350.0,2019-04-08 15:00:00,1990,9748.0,2608237.0,2650000.0,Laura Bertolacci,https://www.zillow.com/profile/Laura-Bertolacci/,2019-01-28 08:58:00,2875000.0,1,2234341.0,2018-12-31,https://www.zillow.com/homedetails/1122-Madison-Ave-Redwood-City-CA-94061/111436032_zpid/
154,15572777,"239 Upland Rd, Redwood City, CA 94062",94062,37.479135,-122.257941,5.0,4.0,3435.0,2019-04-08 00:00:00,1993,22928.0,3019072.0,2890000.0,,,2018-09-24 09:55:00,3328000.0,2,3505662.0,2018-08-31,https://www.zillow.com/homedetails/239-Upland-Rd-Redwood-City-CA-94062/15572777_zpid/
155,15572843,"1226 Edgewood Rd, Redwood City, CA 94062",94062,37.482436,-122.256801,3.0,3.0,2200.0,2019-04-08 00:00:00,1963,16199.0,2017693.0,2050000.0,Kathy Zmay,https://www.zillow.com/profile/redwoodcityisgrowing/,2019-03-01 07:34:00,1996000.0,1,2130705.0,2019-02-28,https://www.zillow.com/homedetails/1226-Edgewood-Rd-Redwood-City-CA-94062/15572843_zpid/
156,249628604,"863 Vista Dr, Emerald Hills, CA 94062",94062,37.46552,-122.255058,4.0,4.0,3109.0,2019-04-04 00:00:00,2019,10558.0,2979860.0,3200000.0,Tom Sudano,https://www.zillow.com/profile/Tom-Sudano/,2019-01-31 14:04:00,3388000.0,1,2395712.0,2019-01-31,https://www.zillow.com/homedetails/863-Vista-Dr-Emerald-Hills-CA-94062/249628604_zpid/
157,15559480,"760 Terrace Rd, San Carlos, CA 94070",94070,37.486234,-122.266568,5.0,5.0,3820.0,2019-04-04 00:00:00,1981,9975.0,2382443.0,2420000.0,Stella Kwak Johnson,https://www.zillow.com/profile/StellaKwakJohnson/,2019-01-04 13:59:00,2699000.0,1,2855825.0,2018-12-31,https://www.zillow.com/homedetails/760-Terrace-Rd-San-Carlos-CA-94070/15559480_zpid/
158,15559458,"2621 Debbie Pl, San Carlos, CA 94070",94070,37.485769,-122.264922,3.0,2.0,1890.0,2019-04-02 15:00:00,1965,5601.0,2185815.0,2220000.0,Greg Celotti,https://www.zillow.com/profile/gcelotti1/,2019-03-08 00:17:00,1898000.0,1,2010393.0,2019-02-28,https://www.zillow.com/homedetails/2621-Debbie-Pl-San-Carlos-CA-94070/15559458_zpid/
